"Reference","Qty","Value","Exclude from BOM","MANUFACTURER","MP"
"C1,C4","2","22 uF","","Murata Electronics","GRM187R60J226ME15"
"C2,C5,C7,C8","4","10 uF","","Murata Electronics","GRM188R61A106ME69"
"C3,C6","2","100 nF","","Murata Electronics","GCM155R71H104KE02J"
"D1","1","LMBR4010BST5G","","LRC","LMBR4010BST5G"
"J1","1","S2B-PH-SM4-TB_LF__SN_","","JST","S2B-PH-SM4-TB(LF)(SN)"
"J2","1","DF40C-50DP-0.4V_51_","","Hirose Electric Co Ltd","DF40C-50DP-0.4V(51)"
"L1,L2","2","DFE201612E-2R2M=P2","","Murata Electronics","DFE201612E-2R2M=P2"
"Q1","1","FS8205A","","FUXINSEMI","FS8205A"
"Q2","1","LP0404N3T5G","","LRC","LP0404N3T5G"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11","11","47","","Yageo","RC0402FR-1347RL"
"R12,R13,R18,R20","4","0","","Yageo","RC0402JR-070RL"
"R14","1","2.2k","","Yageo","RC0402FR-072K2L"
"R15","1","16.2k","","Yageo","RC0402FR-0716K2L"
"R16,R17","2","5.1M","","Yageo","RC0402FR-075M1L"
"R19","1","330","","Yageo","RC0402FR-07330RL"
"R21","1","36.5k","","Yageo","RC0402FR-0736K5L"
"R22","1","100k","","Yageo","RC0402FR-07100KL"
"R23","1","100","","Yageo","RC0402FR-07100RL"
"U1","1","XIAO-ESP32-C6-SMD","","Seeed Studio"," XIAO ESP32C6"
"U2,U4","2","TPS63900DSKR","","Texas Instruments","TPS63900DSKR"
"U3","1","BQ29700DSER","","Texas Instruments","BQ29700DSER"
